card_id,owner_id,card_number,card_type,card_expiry_date
30,3dcba98e-79bb-489a-877e-df3b7a1d8303,4485315636232942,Visa,06/28
31,21be98e0-be64-446a-bf26-377104b6712f,340862366473207,MasterCard,12/26
32,554531ab-42e2-4152-aef0-5a40dc9cfc5e,5195312765437622,MasterCard,08/27
33,f39b8293-88ca-46b1-8790-9efef3dfc6a0,4532295237627943,Visa,10/27
34,e6b60fca-ae21-4fdd-84ae-437bcadba067,4539541641979872,Visa,11/27
35,0683ba38-18f8-4652-af84-a9513802216e,3589811253114584,MasterCard,08/26
36,37c43bc9-b215-4f62-a8de-faa299b5db6b,3589349695170138,American Express,01/27
37,24a1cff9-bdcb-4261-afab-29a3d8198b9d,2499596094563922,Visa,01/26
38,6340b5fd-5890-47c5-9232-02bd507d4cb5,4929041729641245,MasterCard,04/26
39,fe677699-af9b-457d-b690-dc033668518c,4539206720412,JCB,06/28
40,7b4d524b-919d-4c66-961d-318083a6abf7,372606526412014,American Express,10/28
41,773f567e-79df-46cb-973c-937a37779c45,2720010421848643,Visa,06/28
42,678cabe3-6b7e-4f28-9833-bd8f3dab98aa,375563619653714,Visa,12/28
43,c7f95ae8-1749-49e9-852b-c273ac7adf68,5460633929283299,Visa,07/27
44,445d91c6-a665-4003-8146-537830935c85,4539608931222303,American Express,12/26
45,13923464-611c-47dc-8e38-58fb8d73e884,349672010992390,MasterCard,08/26
46,378f4792-1689-4d22-8c1c-82a9d6742b69,3589384428138219,Visa,11/27
47,60c2df5d-7eee-48e4-a81c-5eb17b150f05,2360865876384492,Visa,02/26
48,84689d3c-3661-48e5-b111-395125213dd0,2589572412961693,American Express,06/27
49,bc8545bd-4ddc-4894-868a-64711d84871a,6011770746976085,JCB,08/27
50,e3e44ca5-9596-41c6-88e3-9cb10b49d195,4024007161371,Visa,10/28
51,99d90ce8-8a8a-4747-a07d-44ebae75c349,4716745491925092,American Express,02/27
52,1a4ce3d8-12aa-4578-9813-5f16594e7a0b,4539808801339,MasterCard,06/27
53,7b3585c9-a35c-421f-8545-8a1451fcc2e2,4485519556610835,Visa,01/26
54,58021a90-e814-4398-82ce-bba0d98c6d8f,4556096929085643,Visa,12/27
55,9e0e6149-d956-43cb-9bb8-423ce451790f,6011829176720866,MasterCard,06/27
56,1081d653-b746-4935-a71e-4499bc003838,4556199516313947,Discover Card,08/28
57,1fd476e9-b29a-49bc-a6b9-6b843f9bd1e5,4485431207959,Visa,06/26
58,982ab8fc-b0d2-407f-b0b0-7b8af2900f73,4199451679555,American Express,09/28
59,d968dc90-f67e-4c8b-9c28-d86701059ecc,6011907633948716,Visa,04/27
60,403afcf9-46be-4ce2-8684-c9e6ed1cae1f,3528354300012745,Visa,12/28
61,342b80aa-a8a8-47ea-8110-70df3211bb98,5125988538562724,Visa,06/28
62,9230758c-89a5-45bd-ac7a-623fe5c8305d,6011752898255641,Visa,10/26
63,4c05014f-0b23-4b2d-ba67-5076bee00cab,5555503840063383,MasterCard,07/27
64,7ea27646-f1a7-4b50-b7f2-4a91d669ba85,5379598852833420,MasterCard,12/26
65,0a447141-d369-4144-870f-3897e30af248,2590444964990354,Visa,12/26
66,9d02271b-3caa-4e1f-8154-0a13998f424c,2531062068381858,American Express,06/27
67,c1d1afd1-3add-4e50-98a1-f1165dffc08f,4539467569796702,American Express,12/26
68,a7ac0cd2-3ba5-4385-b874-332db252f2f4,3589870171219156,Visa,11/26
69,81e282cb-fe6f-44fe-937f-bccedf412e2d,4532277920359,Visa,10/26
70,825c8d54-49d7-4664-9607-fd591fb321f1,5264127908541254,MasterCard,12/26
71,14ed0c87-6cdc-4297-bcb8-7708789dfd6e,3528831112204974,MasterCard,09/28
72,af0ca92e-b1ff-4d84-87cd-d360284a640e,4532051476624269,MasterCard,06/28
73,d5cd27a9-974a-4ec2-b018-a8c55790b31d,3528136471680321,MasterCard,11/27
74,5860f0f0-ad64-42ed-b6e9-1ec0a2eb01c9,2720410849803719,Discover Card,05/27
75,96914008-956f-41ac-8e74-6c88f19c66e8,2623189539060941,Visa,05/26
76,cfec9cc4-d4c0-4223-83f6-f94f90d66f7c,3589674826882909,Visa,07/26
77,ce69ac47-ab23-4139-9965-22f94c18b515,347570587680897,MasterCard,02/26
78,de3b2760-bf0c-4a0c-b08a-abc8648b60b3,4532310349418,JCB,08/26
79,b53c3111-dbe0-4edb-bc74-839848dea527,5256859291426848,MasterCard,11/27
80,f00e7f31-a33e-48db-99f1-a399e93d9837,4024007133815539,MasterCard,06/26
81,2ed21cd0-8afa-44b2-9fbe-6b30de1fd6d7,4556667547110169,Discover Card,04/26
82,25139492-c84c-4a64-87e0-f2cdfbc6f7e8,4916158062046835,JCB,04/27
83,62ef4e38-87b4-49bc-8272-bb43bd53c50d,4024007103479498,MasterCard,06/26
84,1503bf61-d769-46e7-bfbf-a9b8370d044d,4485427038364171,JCB,12/28
85,45915dad-c6b3-46e8-801d-770651d4d43c,4485042157313659,Visa,04/26
86,f560edf8-ad38-4069-91e8-e06d255af738,4929685983956713,Visa,12/27
87,998c183a-8b1d-47d8-a879-8401b5621ab9,2221569784148408,Visa,06/26
88,b3b05e90-4d83-4083-8070-858f3c51408a,5242655386272486,Visa,06/27
89,6dc994e6-c21e-487f-bfb3-107c0daab4c4,4556494229687426,MasterCard,03/27
90,88b8ddf5-c77b-4203-b910-cbb1ca671468,4916002007034904,Visa,11/28
91,efb7f820-b079-4dd7-991f-45f8af014e5c,5352153146142286,American Express,07/26
92,675460d1-5e0c-43ff-b500-1e84ad9b186b,2497568599466028,MasterCard,10/28
93,6c8e898f-def8-4136-bc09-ba0006654582,4532447560358,MasterCard,09/27
94,ceda34bb-7bb3-4894-99e8-669a0e150705,4556374009608281,MasterCard,12/28
95,ca2b2fae-3794-4f1a-bc08-4282fb69ca9d,3528553367084287,Visa,09/27
96,6516cec9-707a-4eeb-8dfd-d73d8d94c0b9,5105425249044696,MasterCard,05/28
97,f302fcdc-ea55-433b-a49e-06302a809834,3589236647120149,MasterCard,09/28
98,1e527858-696c-4f13-83c7-d9e331a13068,4485258158023234,Visa,06/27
99,b72828cf-5fc8-4332-9b03-2d358617f06e,4532243568841758,American Express,08/27
100,986bad2d-d413-49a5-9ba9-fb66ec2c8354,3528429695432680,MasterCard,03/27
